"","D1_NC1","D1_NC10","D1_NC11","D1_NC12","D1_NC13","D1_NC14","D1_NC15","D1_NC16","D1_NC17","D1_NC18","D1_NC19","D1_NC2","D1_NC20","D1_NC21","D1_NC22","D1_NC23","D1_NC24","D1_NC25","D1_NC26","D1_NC27","D1_NC3","D1_NC4","D1_NC5","D1_NC6","D1_NC7","D1_NC8","D1_NC9","D1_UC1","D1_UC10","D1_UC11","D1_UC12","D1_UC13","D1_UC14","D1_UC15","D1_UC16","D1_UC17","D1_UC18","D1_UC19","D1_UC2","D1_UC20","D1_UC21","D1_UC22","D1_UC23","D1_UC24","D1_UC25","D1_UC26","D1_UC27","D1_UC28","D1_UC29","D1_UC3","D1_UC4","D1_UC5","D1_UC6","D1_UC7","D1_UC8","D1_UC9","D2_NC1","D2_NC2","D2_NC3","D2_NC4","D2_NC5","D2_NC6","D2_UC2","D2_UC3","D2_UC4","D2_UC5"
"1",2,1,0,0,0,0,3,1,0,0,0,0,0,0,3,3,0,0,1,0,0,2,0,0,3,3,2,4,2,1,1,0,2,0,4,1,0,0,1,1,2,2,2,0,2,2,1,0,1,0,1,2,1,1,2,3,0,0,0,1,0,0,2,2,0,4
"2",0,0,2,0,0,2,0,0,1,3,0,1,0,2,0,0,1,0,0,0,0,0,0,3,0,0,1,0,2,5,1,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
"3",1,2,2,0,0,2,1,2,1,0,1,1,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,2,0,0,0,1,0,0,2,2,1,0,0,0,0,0,3,0,0,0,1,0
"4",3,0,1,0,0,1,2,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,1,0,1,0,0,1,2,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,4,0,0
"5",0,4,2,0,3,1,0,2,0,0,0,2,1,4,1,1,1,2,1,0,0,0,2,3,0,0,3,0,1,10,1,3,2,0,1,0,0,1,1,2,1,1,1,4,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,3,2,1,1,0,2,0
"6",1,1,1,0,0,0,1,0,1,2,0,0,1,4,0,1,2,0,0,0,1,1,0,4,1,0,0,1,2,2,1,1,2,0,0,1,1,1,1,1,0,0,0,3,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2
"7",3,0,0,0,1,0,1,8,1,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,2,1,0,3,0,2,0,1,0,3,2,0,2,0,0,2,3,0,0,1,1,17,1,0,3,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,2
"8",0,0,1,0,4,0,0,0,1,1,1,0,0,6,0,0,1,1,0,0,0,0,3,2,0,0,0,0,1,1,1,2,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,4,1,1,0,0,0
"9",0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,4,2,0,0,0,0,1,2,6,0,0,2,0,0,0,0,0,1,0,4,0,3
"10",1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,0,0,3,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2
"11",0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,1,0,0,3,0,1,2,0,3,1,0,0,0,0,3,1,0,0,0,2,0,0,0,1,0,0,0,3,0,2
"12",0,1,2,0,1,2,0,1,3,1,0,1,0,0,1,0,3,0,0,0,0,2,2,2,0,0,1,0,0,9,2,3,0,1,1,2,0,0,0,1,0,0,0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"13",1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,1,0,0,0,2,1,3,0,2,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,1,2,2,0,1,0,0,0,1,0,1,0,3,0,0
"14",1,0,1,0,0,1,0,1,0,0,1,3,1,1,1,0,1,1,0,0,1,1,2,2,0,0,2,0,3,2,1,1,0,2,0,3,0,1,1,0,2,0,0,1,1,1,0,1,0,0,0,0,2,2,0,0,1,0,0,0,3,0,0,0,0,0
"15",1,2,0,0,1,0,3,1,0,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,3,2,2,4,1,0,0,0,2,0,3,1,0,0,1,1,2,2,0,0,0,2,1,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,2,3,0,2
"16",0,0,0,0,0,0,4,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,6,0,2
"17",0,2,1,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,4,1,0,2,0,0,0,0,0
